Label,Tweets
1,وارجع اقول لمره المليون  الحياه مو عادله ابدا 
2,ليش محد يفهمني
2,· اله يكتب خطوه سعاده وكل نظره عباده وكل بسمه شهاده وكل رزق زياده
2,مرات بكتشف انه تصرفاتي فعلا بتقهر احسن بستاهلوا 
2,روحي سعيده ومبتهجه وراضيه ومشعه اول تاريخ جمعنا الي الحظه 
2,يوم جميل والمرافق اجمل 
2,احلا حاجه تصل علي صاحبتي المفضله لامي وتفق معي نطلع 
1,تعبت الحياه وحظي الاقشر
2,حبيبتي الاولي وعيني الثالثه وملجاي اله  ربي اوصيك بامي واستودعك قلبا اقوي العيش دونه الهم احفظ امي بعينك تنام ️️
2,المستحيل اجراء حوار عقلاني حول المعتقدات والمفاهيم شخص ورثها ولم يكتسبها طريق العقل 
1,مايجي بالي ان اغلب حزني وماساتي جايه جه اهلي اكره حياتي زياده 
2,تذكرت انك تحبني بدت علي هيئه المطمئن  وكاني لتو مسكت الحياه بسعتها وغرستها داخل قلبي 
1,تعبانه و شي يوجعني حتا روحي توجعني 
1,كانت افكار انتحاريه تجي بالي مره حاولت انتحر جد 
2,احب الاشياء الغاليه الاشياء الي احبها غاليه  ابلغ قيل تبرير التبذير
2,صاحبتي  قرايبي اتحبسو ايطاليا انا  بختهم  بقولك اتحبسو مش هيعرفو يرجعو  انا  يابختهم
2,الشعور الي تحس تخلص تمارين مافي زيه  اعيد واكر مافي زيه 
1,اعتقد اني ساظل اشعر بالوحده  حتي وان احبني العالم كله 
1,تعبت الحياه البائسه
1,زلت اؤمن انه محد يفهمني غيري
2,دام قلبك ماعرف معني الوفا الومك يوم ب الفرقي ابتسمت 
2,راسلني دوما  كانك تعرف احد غيري 
2,الدنيا حلوه مثل عيونه وضحكته 
1,صباح الخير  فكره انا لازم ناكل يوم دي مرهقه جدا
1,ليش محد يحبني وانا احب الكل ليش محد يهتم فيني
1,ربي ضحكت مسوين قروب لبروجكت ماده وانا اليدر حقتهم المهم وطلعو مسوين قروب ع البلاك بورد وكلهم داخلين وانا تو ادري 
2,انا مستعده اجاوب علي اي استفسار يخص الاكتئاب ومهتمه جدا بجانب التوعيه قبل شاركت تجربتي كنت وكيف صرت 
1,ويع صج صج ويع انا ابي انهي حياتي صج
1,تعبت الحياه لانها مو عادله ابدا
2,احب اسوي نفسي عبيط عشان اطول الكلام معك
1,ليش الناس يحبون  ليش انا محد يحبني 
1,احتاج انعزل العالم
1,يبدو انا نصلح لهذا العالم  مكان لهشاشتنا  لقد فشلنا شيء  حتي ان نحب انفسنا قليلا 
2,احب ابسط نفسي بنفسي خلاص اكتفيت ابي احد يحن علي واله الي بيحن بيحن حاله ماجي واقول تكفه حن علي لحين شفت الشخص الصادق معاي 
1,الوحده قلبي  تقتلني 
1,محد راح يفهمني عشان مابر لاحد لاني عارفه مستحيل يوصله الي فيني 
2,يجماعه امانه فهموه اني احبه 
2,بتبقي حبيبتي ودنيتي غصبا عذالي وعذالها 
1,انا جدا مرهقه شده التفكير
2,العين بالعين  والمرتجف قلبي ️
1,فيني رغبه بحضن شخص احبه  حضن قوي اشد لحد الي يخليني اخذ نفس عميق و اقول انا واله تعافيت 
2,الهم اسعد قلوبا احبها فيك وافتح ابواب رحمتك وعفوك ورضاك ورزقك وكل خير 
1,عاوزه حد ياخدني ايدي يقولي امشي ويضمنلي اني هكون سعيده الاخر 
2,ياليت الدنيا حلوه مثل عيونك 
1,تكلمت وحكيت محد يفهمني غيري لاسف 
2,اكون انا اذا رفعت ضغط الي احبه
2,ه اله ياخذهم
2,روحي سعيده جدا والضحكه الخد لخد والسب اني بالكويت واه 
2,يارب تفجعني اهلي احب الهم اني اخاف الفقد تحملني مالا طاقه  استودعك ربي اخشي فقدانه فانت خير الحافظين
1,تعبت تصنع الحياه
1,اكره تعب الدوام خصوصا اذا كان زايد علي نومه ليل تشبع يصير طول النهار كسل وتضيع ومعنويات منحطه
2,قرب ميلاد توام روحي شوق وميلادي والحلو انو بنفس الشهر وياله ع كميه السعاده 
2,انا اكثر وحده متناقضه حبي لطايف وكرهي  لحد الحين ماعرفت انا احبها اكرها 
1,دايما محد يفهمني 
2,احيانا اسمع اغنيه باليل و احس اني احب حتي الجدار و انا اصلا سنقل محد يسال عني لان شخصيتي مقرفه
2,يوم اخر جميل جامعه ️
2,ان يامل المرء ان تغير الاشياء  لهو امر عقلاني تماما •
2,انا مرات احب اكلم نفسي
1,محد يفهمني و يطيب خاطري تويتر اقوله الي ف خاطري و يرد علي لانه يدري مافي جواب لكلامي
1,حرفيا احتاج انعزل الناس
2,لحد يلومني حب صاحبي ترا عوضني الدنيا و مافيها
2,كان حضنها ومسكه يدها اليوم بمثابه امتلاكي لعالم لعده ثواني احس روحي جدا سعيده 
1,احتاج طاقه ايجابيه لاسابيع الجايه لان الوضع النفسي صفر 
2,انا صراع رب اموت علشان تعبت الحياه ناسها وبين رب اتفوق علشان اي مخلوق الدنيا دي حطمني يوم اردها ليهو نجاحي
1,الحياه صارت كئيبه جدا ومليئه بالضيق
1,احس مزاجي صار خرا وصرت معصبه وحزينه وابي ابكي بدون سب اهخ متي ياربي بصير اقدر استقر علي مزاج واحد واعرف لنفسي 
2,اتمني ان يكون شهر شباط شهر سعاده
2,قرايبي دول اكتر ناس بنت وسخه واكتر ناس سبولي اذي 
2,امي اذا ابتسمت تهادت جروح قلبي والتئمت ️
2,اله ياخذه كنت احبه
2,يوم جميل بكل المقايس ️ الحمدله 
1,انا لوحدي دايما 
2,احيان مقدر اضغط زر ارسال التغريده الضحك واله اني مهرج يخي
1,انسدت نفسي شي و كرهت نفسي و كرهت السب الي لحين خلاني انتحر لان محد يعبرني او يحبني فالنهايه
2,شعور القلق مسيطر عليا
1,احتاج انعزل الكل وصارت اول رغباتي اني اسوي الشي
2,البنات اذا مرضت يقول حبيبها حبيبتي ابوسك عشان تطيبين  يعني مدري نسكر المستشفيات ونعتمد يالمضاد الحيوي 
1,كنت خائفا ان تصبح روحي باهته  ولكنها اصبحت رماد 
1,وعدت نفسي ازعل ابد احزن او ابكي الحياه مو عادله ابد  الحياه تعب وتهد الحيل
